番号,判定,総プレイ時間(時間),レビュー本文
68,おすすめしない,3558,"このゲームも発売されてもう4年ほど経ちますが正直この先テコ入れがなければ確実にオワコンになります。
キャラのビジュアルは本当にいい。outfitや曲も力が入っていて良いものが多いです。キャラ数はめちゃくちゃ多いというわけではないと思いますが、どれも個性的できっと自分に合ったキャラが1体は必ず見つかるでしょう。
ランクマッチのシステムも悪くなく、自分の実力と大きく乖離した相手と戦うことは少ないです。

ただ、ただ一つ大きな問題点があります。戦闘のシステムです。ドライブゲージです。
ドライブゲージはリソースです。強力な技を打つのも防御する際にも使用します。ドライブゲージが枯渇すれば致死率は80%には到達するでしょう。
そのため、このゲームは体力を減らすことと同じくらいドライブゲージを奪う、管理することが非常に大切なゲームとなっています。
その大事なシステムにキャラクター格差が生じています。それもとてつもなく。

まず、弾を撃てないキャラクターに人権はありません。
弾は相手のドライブゲージの回復を阻害します。逆に自分のドライブゲージは回復します。つまり自分のドライブゲージが減った状態で弾を撃ち続けられると、一生回復しましせん。弾なぞ飛べばよいじゃないかと思ったそこのあなた、昇竜打たれてそのまま画面端、固められて殴り潰されたことをもうお忘れですか？
弾を持たないキャラクターはドライブゲージを使ったが最後、原人ばりの歩きでちょこちょこ近づいて、さし返しされる恐怖を振り払い技を当てて回復しないといけません。もちらん、近づく間に飛びとドライブラッシュを見ながら。

弾です。弾を持たないキャラクターに人権はありません。どの大会でも弾を持っているキャラクターが幅を利かせています。ゲージ管理が大切なゲームにおいて、弾のあるなしでシステムの恩恵格差が出ているのはクソと言わざるを得ません。ストリートファイター６は4年この問題を改善できていません。

2つ目のシステム問題はジャストパリィです。1年目、2年目と比べればジャスパの仕様も大きく変わり、多少マシにはなったでしょう。でも根本は解決していません。それはジャスパのリターンがでかすぎるという点です。
このゲームは画面端に相手を追い詰めることが勝ちに直結します。なぜなら相手は間合い管理ができず、こちらは一方的にできるからです。なのでほぼ全てのキャラクターはドライブゲージを使用して、相手を画面端へと運びます。運べたらそこからは自身のボーナスタイム、ではありません。
この状況をひっくり返す魔法の技があります。ジャストパリィです。ジャストパリィは全てを解決します。文字通りの意味です。パリィという、いわゆるほぼ無敵状態を相手の攻撃に合わせてタイミングよく発動するとジャストパリィとなります。するとどうなるか？　相手を画面端に逆に投げることができます。終わりです。

こちらはリソースを吐いて相手を画面端に追い込んだのに、なぜか気づけば攻められているのはこちらです。狙ってジャストパリィをしているならわかりますが、ほとんどの人は手癖や体がびっくりしてボタンを押したらジャストパリィとなっているだけだと思います。レジェンド帯の方々は狙いをつけてパリィしたり、技を見てから行っていると思いますが、それでもやはりクソです。
画面端に追い込んだということは、そこの勝負は自身の勝ちのはず、なのに運だけジャスパ/一点読みジャスパで攻守が入れ替わってしまうのはあまりに理不尽です。入れ替わってしまえば運びに使用したリソースも回復できません。そのまますり潰されて終わりです。
ジャスパによって逆転できる試合も多いです。ただその逆も多いです。なぜ負けたのか考えたときにジャスパを取られたから負けとなるゲームに納得性はないです。そういうゲーム性と受け入れられる方々にはおすすめです。
自分は無理でした。なぜ偉い行動をしている方が負けないといけないのかが4年やってもわかりませんでした。

このゲームはどのキャラクターでも勝つことはできます。ただそれもパリィとジャスパありきの話で、パリィとジャスパがなければキャラ格差はマントルから北極星ぐらいあります。そのため開発側はパリィ関連を根本から変えることは出来ないと思います。結局のところ多くの人が不満に思っている「環境が変わらない」「強いキャラが一生強い」はドライブゲージとパリィが根本の原因です。自分と相手のドライブゲージを管理しやすい弾キャラが強いのは、システムが変わらない限りずっと続きます。上位にいるキャラクターはバフ・ナーフで多少変わるかと思いますが確実にいえることはそいつは弾を持っています。
パリィは弾キャラに勝つためのシステムですが、そのせいで弾キャラにも負けます。パリィのおかけで、弾キャラはドライブゲージをさらに管理しやすくなるのですから当然です。
ジャストパリィはどんな人にも等しくチャンスを与えます。ゆえに勝ち負けの納得性を著しく阻害します。
やり込んだ人ほどジャストパリィで負けると悲しくなるでしょう。

最後に、オワコンは飽きから来ると思います。飽きは環境が変わらないことが根本原因だと思います。
環境が変わらないのはそもそものシステム設計をもう変えることが難しいためです。おそらくこのゲームの人口は少しずつ確実に減っていくでしょう。各プロや配信者、イベントなどで盛り上がっている部分もあります。
自分も見れる大会は見ています。ただゲームをする人自体は先細りするでしょう。4年目で抜本的な改革があることを願っていますが、現状このゲームはおすすめできないです。

プレイ時間：3000時間くらい
MR:最高2000くらい"
69,おすすめ,22,"今まで格闘ゲームを""やる""のには否定的だった私の脳を無事こんがりマリーザが焼き尽くしてくれました。
本当にありがとうございました。893キックらいすき！"
70,おすすめしない,289,面白いはずなのに全く楽しめない
71,おすすめ,27,"格闘ゲーム初心者です。
今まで格闘ゲームはかっこよくて買ってみたけど、ちょっと触ってコマンドも何もわからなくて、ストーリーを知りたくても負けまくるのですぐにやめてしまうようなレベルです。
キャラクターのビジュアルに惹かれてゲームを買いました。
ワールドツアーやアーケードモードを中心にやらせていただいているのですが、とても楽しくてありがたかったです。(対戦は怖くて全然出来ていません)
特にワールドツアーでは、ストーリーは勿論、キャラを師匠に出来て、会話が出来たり色々物を贈れたりと、とっても楽しいです。
そして、モダン操作なのですが、自分の様な本当に初心者は助けられています。モダンのお陰でプレイ出来ています。

自分のような、格闘ゲーム怖いな、難しそうだな、という初心者の方に、是非スト6のワールドツアーとモダン操作をおすすめしたいです。"
72,おすすめ,3255,勝てるので神ゲー
73,おすすめしない,267,"中途半端なやりこみだと本気でつまんないのでやめた方がいい
楽しさよりストレスの方が強い
自分は合わなかった"
74,おすすめ,38,naisu a game
75,おすすめしない,323,負けるのでくそげーです。勝てたらかみげー。心が壊されます。
76,おすすめ,441,神げー
77,おすすめしない,2060,つらい。
78,おすすめ,1156,"格ゲー未経験のまま熱に流されこのゲームをプレイしたが、本当におもしろい。
私は最初からクラシックでプレイしていたが、初心者にも優しいモダンという操作タイプがあり、本当に敷居が低い。
モダンはあれこれ言われているが、ワンボタンSAが面倒だなと感じるだけで消えている技もあるし、実際使ってみるとキツイな...と感じる部分もある。
キャラバランスに関しては、最近出たイングリッドが超火力！と言う話はあるが圧倒的にこいつが最強！というキャラはおらず、キャラごとの相性がしっかり存在している。
以上を踏まえて未プレイの人はぜひ始めてみてほしい、クラシックは茨の道なので最初はモダンで触ってみることをおすすめする。"
79,おすすめしない,844,くそつまらないゲーム
80,おすすめしない,219,このゲームほどイラつくものはない
81,おすすめしない,108,セールでも高い
82,おすすめしない,896,"いや、まあ、うん・・・
豪鬼の唐突な下段攻撃なんて比にならないほど、イングリッドのビームは唐突だと思います。
ゲームバランスがどうであれ対人戦で使って良い物ではない。"
83,おすすめ,67,モニターを殴りたくなります
84,おすすめ,101,"楽しい～
押すボタン多いので頭バグりゅ"
85,おすすめ,62,"ひ、人だ。格ゲーなのに人がいるぞ。
この時点でおすすめです。対戦相手に困りません。

モダンもいい感じですね。ベガはダブニーやろうとするとサイコクラッシャーに化けるけどね。
あたくしキーボードなんで、投げキャラとかクラシックだとむずいんですけど、モダンあるおかげで楽しく人投げれてます。"
86,おすすめしない,145,最弱キャラをぶっ壊れにリメイクするのは原作愛が無いと思います
87,おすすめ,60,奇妙なキャラばかりを作るなら、ポケットファイターも何人か入れて欲しいです。
88,おすすめ,1080,豪鬼爆殺確定
89,おすすめしない,2339,のじゃ！のじゃ！のじゃ！☆
90,おすすめしない,1762,イングリッド実装でつまらなくなりました。
91,おすすめしない,687,アップデートするたびにどんどん不快になるゲームです。
92,おすすめ,1289,ﾜ
93,おすすめしない,88,"クラッシック操作については無視します。対戦のバランスもどうでもいいです。最初からクラッシックとモダンはマッチしないほうが良かったのではないかと思いますね。
モダン操作での話です、出せる通常技必殺技が思ったような動作なものがほとんどなく、全体的な動作も相まって楽しく動かすことができないです。
アクションゲームとして気持ちよくないです。"
94,おすすめしない,177,このゲーム作った奴は頭が悪い
95,おすすめしない,127,"普段xboxでプレイしてます。
イングリッドは挑戦的な試みだったと思いますが不快なのでナーフしてください。"
96,おすすめしない,20,キャラゲー。おもんない。
97,おすすめしない,213,"このゲーム、なんとスマーフが合法です！！
新キャラが出るたびに、純粋に頑張っている初心者や中級者は、自分たちの数倍もやっている人たちに轢かれていきます！ドMの方はぜひやってみてください！普通の感性をお持ちの方はやらないことを強くおすすめします。"
98,おすすめ,793,ぶらんかおもしれー
99,おすすめしない,419,"ダイヤ5までいくと1万戦超えの上級者のサブキャラと当たり前のようにマッチングするクソゲー
新キャラが追加されるたびにマッチングシステムがまともに機能しなくなる欠陥システム
しょーもな"
100,おすすめしない,588,"イングリッドしかいない。バグですか？
ビームが見えない。バグですか？"
