番号,判定,総プレイ時間(時間),レビュー本文
57,おすすめ,220,テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！テラリア大好き！
58,おすすめ,120,"etsa chido pero
ME HICE AMIGO DE UN MUSULMAN
ME HIVCE AM,MIGO DE UN MUSULMAN
ME HICE AMIGO DE UN MUSCULA
ME HICE AMIGO DE UN MUSULMAN
ME HICER AMIGO UN MSULMAN Y CERDO QUIERO CHUPAR"
59,おすすめ,267,このゲームはチョー面白いですｗｗｗｗ　私の中ではギャグゲーだと思っていますｗｗｗ　横スクロールなんですが、基本下に穴掘っていって探索するゲームです(´・ω・`)　フレンドとすればチョー盛り上がります♪　お勧め！！！
60,おすすめ,97,時間が溶ける神ゲー
61,おすすめ,86,"思えば20年近く前にyoutubeで見たときからやりたくて
PSvitaを購入…遥か昔２００時間くらいを費やした。その頃はまだパンプキンがラスボスだった。
その後、いつの間にかアプデが行われなくなり（おい、スパ〇ュン）
10年ほど前今度はスイッチにて購入。操作性がわりぃ…。vitaの方が全然操作性よかったぞ（おい、スp略）
そして今、時代とともにsteamに移行し、有志の方の翻訳…いつの間にか公式に日本語きたよぉぉぉ。
フォントが…(MODで変えましょう♪)
今もテラリアライクなゲームはいっぱい世に出ているが、テラリアに勝てるものは中々ない印象。
コンシューマにはない楽しみ方ができる点でPC版が一番秀でているよねっ。何より
キーマウでの操作がやりやすい。あーテラリア面白れぇ。"
62,おすすめ,416,一人でやるな。友達とやれ。
63,おすすめ,39,PS5コントローラではうまくワークしにくい。でも、本当に楽しいゲームだ。
64,おすすめ,27,"スペースガン作って女王蜂倒して溶岩世界にたどり着いたところ
生還して戦利品は適当に倉庫に突っ込んですぐまた探検に出発
まだまだ序盤と思うけどすでにアイテム倉庫はぐちゃぐちゃ。
整理整頓しなきゃと分かっちゃいるが、そんなことより探検したい、、、
現実の部屋の掃除もしないといけないのに。"
65,おすすめ,186,"コンシューマー版でプレイしていたが、その時と違いだいぶ進化した。
以前はUIがごちゃごちゃしていて分かりにくかったが今ではだいぶシンプルになってプレイしやすかった
パッド操作での操作性についてかなり悪い評判を聞いていたが、正直慣れだと思う…癖はかなり強い。

悪い点として
『ゲームとしての導線ができていない』ので何も知らない初心者の人は次に何をするのか分からず辞めてしまうかも…
初期のころと違い、一応はガイドがヒントを出してくれるのは良いがもっとしっかりとした導線があればもっと多くの人に受け入れられそうではある。"
66,おすすめ,168,"神ゲー。
なお洋ゲーでよくあるチュートリアル一切なしのゲームなので、最初何をしたらいいか分からず夜を迎え何度も湧き出てくるゾンビに惨殺されまくって糞ゲーってなったが、何とか家を建てた後は神ゲー。"
