番号,判定,総プレイ時間(時間),レビュー本文
25,おすすめ,52,グラフィックはドラクエ史上最高。キーファはネタキャラだと思ってたら非常に魅力的だった。
26,おすすめ,106,"ドラクエシリーズは安定した面白さがありますね。
ドールルックのグラフィックですが、キャラクターの髪の質感がカチカチな感じがして違和感を感じた以外は非常に良かったです。
トロコンまでして全体的には満足なのですが、個人的に残念だった部分を述べます。
カジノが無くなってラッキーパネルだけになったのは残念でした。ラッキーパネルは面白くない上に、辛口や激辛をクリアしようと思ったら録画前提の難度で不満でした。
昔のドラクエはゲームバランスが非常に良かった印象があるのですが、近年？の作品は今作も含め、一部の特技や魔法が非常に強く、ゲームバランスがあまり良くない感じがします。"
27,おすすめしない,54,"HD-2Dとかいう糞以下の産廃技術でリメイクされたロト3部作と比べると雲泥の差。
グラフィックが綺麗で驚いた。特に景色。でもそれだけ。他に良いところはない。
11を超える作品はもう出ないんだろうなとつくづく実感した。

原作がクリアまで100時間超えのやりこみ前提の仕様だったので、昨今のタイパ重視の客層に合わせて削られる要素があるのは仕方ないことだが、削った要素に対して追加した要素がほぼないのでまったくつり合いがとれていない。クリア後は特に顕著。エンドコンテンツは裏ダンと闘技場のみ。

カジノ削った理由が海外で売れなくなるからって何その守銭奴思考。
仕方ないんだろうけどもうちょっと隠せよ。羞恥心とか罪悪感とかないのかね。
インタビューで堂々と答えちゃうくらいだから後ろめたさとか全然ないんだろうな。怖。

過去のリメイクであった職業ごとの見た目変更が無くなったのも非常に残念。
ドールルックとかいう芸術家思考の技術を採用したせいなんだろうけど、わざわざ人形作らなくてもCG可できるよね。NPCやモンスターは人形作ってねえだろうが。
ゲームを作れ芸術家気取りども。ゲーム付映像作品はFFだけで結構です。
こういうクリエイターの無駄なこだわりのせいでゲームとしての楽しさを削られるのが一番イライラする。SNSで命削って作ってるとかレスしてたけど、今時こういうこと平気で言えちゃう企業ってまともじゃない。頭イカレてると思う。
おまえらのこだわりと自尊心をもうちょっと削ってくれ。

もう伝統的様式美みたいなものなんだろうけど、主人公喋らないのなんとかして。
今時こんな方法で感情移入やら自己投影なんかしないだろ。
ドラクエの主人公って皆喋れない病気とか障害でも持ってんの？それとも世界観的に呪い？
周りが喋りまくるから違和感がすごい。ものすごいコミュ障が旅してるみたいで
なんか見てて気を遣うんだよ。頼むからイベントシーンだけでも喋らせて。"
28,おすすめ,49,"前作までよりボリュームは減った印象がありますがサクサク進むドラクエ７はそれはそれで楽しかったです。
難易度は上げたほうがいつものドラクエに近いでしょうか
キーファ関連の追加イベントも好印象で相変わらずいいエンディングだなと感じました。

ですがクリア後いざトロコンしようかと思いたったところ、アイテムコンプのためにラッキーパネルの無限周回を強要され、このゲームの楽しかった思い出すべて台無しにしました。

あと検索しても同じ症状の方がいらっしゃらなかったのでおま環かもしれませんがオプション触らないと主人公たちの足音や環境音が全く聞こえません。
ボイス・BGM3・効果音10にしてプレイしていました。会心とルーラの音が爆音ですが無音よりましでした。"
29,おすすめ,90,bbbbbbbbbbbbbb
30,おすすめ,143,"●総評
　
　島が小さく、一部のストーリーが削除され、全体的にコンパクトにまとまっていた。後述のように育成要素もかなり楽で、裏ボス討伐、全員レベル99、全職業熟練度8、闘技場・修羅の道クリアまでやり込んでも、145時間だった。不必要にプレイ時間を多くしないことには好感が持てた。ただ、ラッキーパネルの難度が低ければ、もっとプレイ時間は短縮されただろう。

　キャラが人形のようにかわいい、主人公とマリベルの幼少期エピソードが追加されたこと、大人になったキーファと再会できること、レブレサックの胸糞ストーリーが改変されたことが良い。ただし、キーファが「アイラの先祖」との事実を、アイラ自身やグランエスタード王が知ることがなかったことには、違和感がある。

●石板、小さなメダル集め

「石板リスト」「メダル手帳」が非常にありがたい。ＨＤ‐２Ｄ版『ドラクエ3』『2』では、景品をすべてもらうには小さなメダルもすべて集める必要があったが、どこで取ったかが分からなくなり、すべての場所を再訪するハメになり、非常に困った。

●「正解」を知らないと突破できないパズル要素について

　過去ダーマの「封魔の牢獄」でのフォズ大神官の封印を解く際。左部屋のクリスタル破壊はまだいいが、右部屋のクリスタル破壊は難度が高過ぎる。ストーリー進行必須のパズルなのに、「正解」を知らないと突破できない。総当たりで選択肢を試すにしても、数が多すぎて非現実的。いくら発売後数時間で攻略情報が出回るとはいえ、【攻略情報を調べることが前提】なのは問題。ちゃんとゲーム中にヒントを用意すべき。もしくは、降参して仲間が解いてくれるようにすべき。

●ラッキーパネルについて
　
　ラッキーパネルの攻略が、「画面を動画保存する」ことが【前提】となっている。まだ、「甘口」「中辛」なら、まだ「画面の静止画撮影」だけでも何とかなる。が、「辛口」「激辛」になると、撮影した画面動画を見ることが【「必須」】になっている。さらに、めくるべき（メタルスライス、星、カギマーク）カードやめくってはいけないシャッフルカードの位置に付箋を貼る必要もある。

　難易度は「中辛」までにして欲しかった。それならば許容できる範囲であり、景品次第では楽しめた。

　メタルスライムの出現率が高ければまだしも、現状では低過ぎて、失敗した際の時間的・手間的・精神的損失が大き過ぎる。撮影した動画を見ること自体がかなり煩わしく、周回の手間がかかり過ぎる。もっと難易度は低くても良かったのでは？　スマホで動画を見ながら、カジノのスロットを回すのがちょうど良かったのでは？　さらには、「辛口」「大辛」成功時のファンファーレの演出もくどい。カットできぬため、周回テンポが悪くなる。

　さらには、「激辛」での景品出現率にも疑問である。特に、入手方法がラッキーパネルに限定されるわりには、知力のかぶとは宝箱から出るはぐメタシリーズと比べても、出現率が【極端に低い】。宝箱の、まじんのかなづち、天使のレオタードはクリア前でもモンスターからのドロップで入手できるので、知力のかぶとを宝箱にすべきだったのではないか？

　本来『ドラクエ』は「根気のゲーム」ではなかったのか？　コツコツ時間をかけてプレイすれば、ほしいアイテムを入手できるゲームではなかったのか？　プレイヤーの記憶力や外部ツール（録画、付箋）の影響が大き過ぎる。これでは本当に【神経が衰弱】する。

　しかも、ラッキーパネルはオリジナル版からあったとはいえ、海外のレーティングに媚びた結果、カジノの代替えとの位置づけも中途半端である。

　そこまでして海外で売りたいのであれば、ラッキーパネルという、ギャンブル性のあるミニゲーム自体を【完全削除】するべきだった。

　そして高性能な装備品の獲得手段としてなら、HD‐2D版『ドラクエ2』の「あなほり」「ふくびき」「モンスターからのドロップ」になぜ、ならわなかったのか？　

　はかいのつるぎや水のはごろもは、あなほりを繰り返すことで入手できた。ふくびきも、リセマラすれば、ゴールドカードやはぐれメタルシリーズの武器・防具などのレア景品も、根気で手に入った。はかぶさのけんですら、はぐれメタルを200匹程度たおして入手した。

　日本人にカジノのイメージを植え付けたのは『ドラクエ』ではないかのか？　海外のレーティングに媚びて『ドラクエ』の名物であるカジノを廃止し、精神的・時間的に甚大な負担がかかるラッキーパネルで、神経を衰弱させられた。日本版はカジノあり、海外版はカジノなしなら納得できる。日本のユーザーに海外のレーティングを強要するなら、【日本国内で販売すべきではない！】。販売国の習慣の尊重は、【日本も例外ではない！】

　HD‐２D版『ドラクエ3』で「性別廃止」を見事に有名無実化した手法にならってほしかった。

●レベル・熟練度上げについて

　中盤のコスタールで、特別レベル上げをしていないにもかかわらず、レベルが50近くあって驚いた。昔の『ドラクエ』なら、レベル40台半ばが「クリアレベル」だった。レベル上げの面倒がかなりなくなっている感じがする。

　特に過去のコスタールの大灯台で、くちぶえを使ってモンスターを呼び出すと、レベルが10、20はすぐ上がる。熟練度も、10分、20分戦っていると、1つ、2つの職業をマスターする。レベル・熟練度上げがかなり楽な感じがする。「こんなに簡単で良いのか？」という気もするが、どんどん上がっていくのが楽しい。

●ルーラ、リレミトについて

　ルーラを屋根のある場所で使っても頭をぶつけなくなったから必要性がなくなったとはいえ、リレミトが廃止されたことには驚いた。精霊を復活させている最中には、ルーラが使えず結構不便だった。精霊復活中にルーラ使用不可にするのであれば、ダンジョンもあるのでリレミトは残存させるべきだった。

　また、過去の世界の「現代への旅の扉」がルーラポイントになっていないのも、案外不便である。というより、現代と過去との行き来が石板を経由しないといけないのが面倒。謎の神殿の石板を経由するぶんはまだ分かりやすいが、他の場所の石板だと分かりにくい。島が現代に復活するか、メインストーリークリア後には、ルーラで直接、現代と過去を行き来できるようにしても良かったのでは？　ルーメンのように、過去と現代を行ったり来たりする場合もある。

　さらには、クリア後に行ける謎の異世界の集落と、さらなる謎の異世界・みなれた町がルーラポイントになっていない。両方とも、レベル上げやモンスターからのドロップアイテム狙いで行く機会がある場所なのに不便だった。とくにみなれた町は、リレミトがないため、ダンジョンからルーラで出られても戻ってくるのが手間がかかる。

●ストーリーの分岐について

　本作は、ストーリーが大きく分岐するポイントがいくつか存在する。オリジナル版プレイ済みやあらかじめ情報を知っていればともかく、初見だと分岐ポイントが分かりづらいのでは？　『ドラクエ12』でもストーリーの分岐が検討されているとの情報もあるが、分岐ポイントでは明確にメッセージを出しても良かったのでは？　もしくは、分岐ポイントでは、「分岐ポイント」と明記して、強制的にセーブデータが保存されても良いのでは？

●職業システムについて

　二つの職業を掛け持ちできるようにしたのは、没個性化を防ぐ試みである。だが、オリジナル版のシステムになじんでいると、とまどう部分でもあり、使えない特技・呪文が出てくることもあって、不便に感じる部分でもあった。ただし、いつでもどこでも転職できるので、装備品同様、敵に応じて付け替えやすかったのは良かった。欲を言えば、組み合わせを保存できれば良かった。"
31,おすすめしない,32,"グラが良いのと追加要素があるのは良い事だけども
ダンジョンを短くしたり過剰にある回復セーブポイントは
宿屋の意味を無くしてしまっているのでやり過ぎ

モンスター職をなくしたり
シナリオ削ったり等は改悪

初めてプレイされる方はこれでいいと思いますが
過去何かしらでプレイされている方はやらないでも
・・・といった感想でござる"
32,おすすめ,71,"オリジナル版をプレイ済みでしたが終始新鮮な気分で楽しめました
グラフィックはいいのはもちろんのこと、オリジナル版の雰囲気を大事にしているのがプレイの中でよく伝わります

とにかくマリベルが可愛いのがとても良い..."
33,おすすめ,31,"ドラクエ歴は11S → 10 → 1 → 2 → 3(HD2D)、原作7は未プレイの視点でのレビューになります。
　クリア時間はセーブデータ記載のタイムで約27時間。

【良かった点】
●バラエティ豊かな陰鬱エピソード
　本筋こそ魔王を倒して平和を取り戻す王道の物語だが、各地の島で繰り広げられる個々のエピソードは暗く辛く厳しい世界観の物語たちで構成されている。
　初手のウッドパルナから始まり、主人公たちの到達時点で既に手遅れなダイアラック、原因となる魔物は早々に討伐したにも関わらず村の人間関係がどんどん悪化していくグリンフレークなどは特に印象深い。
　賛否分かれる要素かもしれないが、個人的には好みの作風。

●個別調整可能な難易度
　与えるダメージ、モンスターのつよさの他、得られる経験値やお金の量をそれぞれ個別に設定可能。すなわち、敵の強さはハードだが経験値量はイージーの如く稼げるようにも調整できる。
　エネミーシンボルが襲いかかってこなくしたり、戦闘終了毎にHPが全回復するようにできるオプションまであり、サクサク進めたければいくらでもサクサクできるように設計されている。
　おそらく物語を既に知っている原作7プレイヤー向けの要素なのだろうが、緊張感のある冒険はしたいがレベリング作業は好まない私のようなプレイヤーにも嬉しいシステムになっている。

●現代的なUI
　直前のHD2Dシリーズまで続投していた伝統的ドラクエUIを廃止し、現代RPGらしい機能的なUIになった。
　ここも賛否分かれる点かとは思うが、インターフェースは使いやすいにこしたことはないので個人的には加点要素。

●統一感のあるグラフィック
　公式はドールルックと謳う3DCGで描かれるグラフィックはアニメ風とリアル風を良い具合に調和しており、ドラクエの3D表現として理想的な塩梅。

●携帯機でも快適なパフォーマンス
　ROG Xbox Ally Xでプレイ。
　RSR (720p→1080p)とAFMF2.1を適用し、最高画質設定かつ120fpsでGPU使用率70%前後の安定動作可能。

【気になった点】
●やや大味な戦闘バランス
　与えるダメージ「ふつう」&モンスターのつよさ「ふつう」では、ボス相手だろうと特に難しく考えなくても勝ててしまう。
　終盤にもなると職業「勇者」のバーストスキルである数ターンスタン＋雷耐性ダウンが非常に強力で、ボス戦ではとりあえず全員のサブ職業に勇者を入れて交互にバーストを撃っていればまず負けない。

●職業熟練度
　上位職業に転職するために下位職業の複数習得が必須。獲得熟練度を「たくさん」に設定してもさほど多くはならず、獲得経験値量を増やしてレベリング作業を軽減しても結局熟練度上げのために戦闘回数を稼ぐ必要が出てきてしまう。

●被写界深度設定をOFFにできない
　常に遠景がぼやけて見える。ON/OFFできるオプションを付けてほしかった。

【総評】
　現代的に""Reimagined""したドラゴンクエスト。
　システム的にもグラフィック的にも、この路線のドラクエがさらに欲しくなる一作。"
34,おすすめしない,49,"陰鬱なストーリーが多いことは覚悟していましたが、それ以上にカットされた要素が多すぎます。
カジノは仕方がないと思いますが、移民の町、モンスターパーク、世界ランキング協会、モンスター職が無くなったことは悲しいです。
原作で不評だったムービーが綺麗になったのと、マリベルがかわいいのは良かったですが、
原作を楽しくプレイしていた人ほどおすすめはできません"
